first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Tom,Richard,Tom Richard,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,40,1:46:14,first,47.81,20,Yes,1245.6799999999998,No,# 20,On Track to Qualify
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-10-08,2022 World Triathlon Championship Series Cagliari,12,1:40:59,first,424.19,21,Yes,999.48,No,# 21,On Track to Qualify
David,Castro Fajardo,David Castro Fajardo,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,5,1:40:36,first,732.09,22,Yes,1006.6300000000001,No,# 22,On Track to Qualify
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,14,1:41:09,first,362.95,23,Yes,1180.3999999999999,No,# 23,On Track to Qualify
Dorian,Coninx,Dorian Coninx,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,28,1:42:39,first,121.85000000000001,24,Yes,1115.1399999999999,No,# 24,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,7,1:40:45,first,626.4000000000001,26,Yes,1274.15,No,# 26,On Track to Qualify
Seth,Rider,Seth Rider,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,19,1:41:28,first,245.78,32,Yes,825.31,Yes,# 32,Not on Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-10-15,2022 World Triathlon Cup Tongyeong,1,1:44:49,first,500,9,Yes,1283.3600000000001,Yes,# 9,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-10-29,2022 World Triathlon Cup Miyazaki,1,0:53:11,first,375,26,Yes,1649.15,No,# 26,On Track to Qualify
Alex,Yee,Alex Yee,Great Britain,GBR,2022-11-05,2022 World Triathlon Championship Series Bermuda,5,1:50:04,first,732.09,2,Yes,2607.09,No,# 2,On Track to Qualify
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-11-05,2022 World Triathlon Championship Series Bermuda,4,1:49:59,first,791.45,3,Yes,2867.3199999999997,No,# 3,On Track to Qualify
Vincent,Luis,Vincent Luis,France,FRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,1,1:49:37,first,1000,4,Yes,2308.3,No,# 4,On Track to Qualify
Lasse,Lührs,Lasse Lührs,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,7,1:50:12,first,626.4000000000001,7,Yes,3060.19,No,# 7,On Track to Qualify
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,2,1:49:45,first,925,8,Yes,2421.99,No,# 8,On Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-11-05,2022 World Triathlon Championship Series Bermuda,16,1:51:09,first,310.55,9,Yes,1593.91,Yes,# 9,On Track to Qualify
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-11-05,2022 World Triathlon Championship Series Bermuda,13,1:50:57,first,392.37,10,Yes,1659.79,No,# 10,On Track to Qualify
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,3,1:49:54,first,855.63,11,Yes,1769.9299999999998,No,# 11,On Track to Qualify
Joao,Silva,Joao Silva,Portugal,POR,2022-11-05,2022 World Triathlon Championship Series Bermuda,11,1:50:18,first,458.58,12,Yes,1724.27,No,# 12,On Track to Qualify
Jawad,Abdelmoula,Jawad Abdelmoula,Morocco,JUL,2022-11-05,2022 World Triathlon Championship Series Bermuda,25,1:51:57,first,153.96,14,Yes,1948.77,No,# 14,On Track to Qualify
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-11-05,2022 World Triathlon Championship Series Bermuda,14,1:50:59,first,362.95,16,Yes,1731.32,No,# 16,On Track to Qualify
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-11-05,2022 World Triathlon Championship Series Bermuda,12,1:50:33,first,424.19,17,Yes,1899.2600000000002,No,# 17,On Track to Qualify
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-11-05,2022 World Triathlon Championship Series Bermuda,6,1:50:06,first,677.19,19,Yes,1024.0700000000002,No,# 19,On Track to Qualify
Tom,Richard,Tom Richard,France,FRA,2022-11-05,2022 World Triathlon Championship Series Bermuda,10,1:50:16,first,495.76,20,Yes,1741.4399999999998,No,# 20,On Track to Qualify
