first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,43,1:00:53,first,28.38,20,No,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,4,0:24:25,first,692.52,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-10-29,2022 World Triathlon Cup Miyazaki,1,1:00:43,first,375,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-10-08,2022 World Triathlon Championship Series Cagliari,16,1:50:29,first,310.55,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-08-12,2022 Europe Triathlon Championships Munich,8,1:53:32,first,301.3,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-07-09,2022 World Triathlon Championship Series Hamburg,17,0:59:43,first,215.44,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-08-28,2022 World Triathlon Cup Bergen,19,1:04:00,first,92.17,21,Yes,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,37,2:01:14,first,75.51,21,No,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-05-28,2022 World Triathlon Cup Arzachena,24,1:02:35,first,62.42,21,No,
Alberte Kjær,Pedersen,Alberte Kjær Pedersen,Denmark,DEN,2022-06-11,2022 World Triathlon Championship Series Leeds,42,1:02:22,first,30.68,21,No,
Emy,Legault,Emy Legault,Canada,CAN,2022-10-29,2022 Americas Triathlon Championships Montevideo,3,2:02:41,first,460.49,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2022-07-09,2022 World Triathlon Championship Series Hamburg,10,0:59:11,first,371.82,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,12,0:24:22,first,371.17,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2022-06-18,2022 World Triathlon Cup Huatulco*,2,1:00:13,first,346.88,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,22,1:59:51,first,243.16,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2022-10-08,2022 World Triathlon Championship Series Cagliari,39,1:55:01,first,51.69,22,Yes,
Emy,Legault,Emy Legault,Canada,CAN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,47,1:01:15,first,20.78,22,No,
Nina,Eim,Nina Eim,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,7,0:58:45,first,469.8,23,Yes,
Nina,Eim,Nina Eim,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,4,1:52:51,first,452.72,23,Yes,
Nina,Eim,Nina Eim,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,9,0:59:09,first,401.97,23,Yes,
