first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,14,1:41:09,first,362.95,23,Yes
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-06-18,2022 World Triathlon Cup Huatulco*,5,0:53:53,first,274.54,23,Yes
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,32,1:53:11,first,89.21,23,Yes
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-08-12,2022 Europe Triathlon Championships Munich,33,1:45:19,first,42.91,23,Yes
Dorian,Coninx,Dorian Coninx,France,FRA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,5,0:53:14,first,549.07,24,Yes
Dorian,Coninx,Dorian Coninx,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,3,1:41:24,first,511.67,24,Yes
Dorian,Coninx,Dorian Coninx,France,FRA,2022-08-28,2022 World Triathlon Cup Bergen,1,0:55:37,first,375,24,Yes
Dorian,Coninx,Dorian Coninx,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,28,1:42:39,first,121.85,24,Yes
Dorian,Coninx,Dorian Coninx,France,FRA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,28,0:00:00,first,106.62,24,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,14,1:45:57,first,453.68,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-05-28,2022 World Triathlon Cup Arzachena,4,0:54:41,first,296.79,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,9,1:52:32,first,267.98,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-11-05,2022 World Triathlon Championship Series Bermuda,20,1:51:24,first,227.35,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-08-12,2022 Europe Triathlon Championships Munich,12,1:42:56,first,220.58,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-08-28,2022 World Triathlon Cup Bergen,10,0:56:33,first,185.91,25,Yes
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-10-08,2022 World Triathlon Championship Series Cagliari,24,1:41:58,first,166.44,25,No
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-06-11,2022 World Triathlon Championship Series Leeds,27,0:54:42,first,98.8,25,No
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-07-09,2022 World Triathlon Championship Series Hamburg,29,0:54:24,first,84.53,25,No
Márk,Dévay,Márk Dévay,Hungary,HUN,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,38,0:54:40,first,41.91,25,No
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,7,1:40:45,first,626.4,26,Yes
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-10-29,2022 World Triathlon Cup Miyazaki,1,0:53:11,first,375,26,Yes
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-08-28,2022 World Triathlon Cup Bergen,7,0:56:05,first,234.9,26,Yes
